Source,url,Heading,author,date
edition.cnn.com,https://edition.cnn.com/2025/07/25/investing/us-stock-market,Sweet spot for tariffs,John Towfighi,
edition.cnn.com,https://edition.cnn.com/2025/07/25/india/india-bjp-english-language-tensions-intl-hnk-dst,The language dilemma,,"PUBLISHED Jul 25, 2025, 8:30 PM ET"
edition.cnn.com,https://edition.cnn.com/science/hawaii-mosquitoes-rare-birds-drones-c2e-spc,Drones drop mosquitoes,Nell Lewis,
edition.cnn.com,https://edition.cnn.com/2025/07/25/climate/heat-speed-up-biological-aging,Extreme heat and aging,Laura Paddison,"PUBLISHED Jul 25, 2025, 8:12 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/travel/european-versus-us-ice-water-debate,Ice-obsessed Americans,Francesca Street,"PUBLISHED Jul 25, 2025, 9:40 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/science/neanderthal-diet-maggots-rotten-meat,The real Paleo diet,Katie Hunt,"PUBLISHED Jul 25, 2025, 2:00 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/entertainment/kelly-osbourne-ozzy-death-intl-scli,Kelly Osbourne,Issy Ronald,"PUBLISHED Jul 25, 2025, 5:24 AM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/politics/donald-trump-israel-hamas-war,Trump tells Israel to ‘finish the job’ against Hamas,Kevin Liptak,"PUBLISHED Jul 25, 2025, 3:43 PM ET"
edition.cnn.com,https://edition.cnn.com/world/live-news/israel-hamas-gaza-news-07-26-25,Six-month-old baby dies in Gaza amid starvation crisis,Laura Sharman,
edition.cnn.com,https://edition.cnn.com/2025/07/25/middleeast/gaza-doctors-fainting-from-hunger,Doctors in Gaza are fainting while trying to save their starving patients,Kareem Khadder,"PUBLISHED Jul 25, 2025, 12:15 PM ET"
edition.cnn.com,https://edition.cnn.com/2025/07/25/world/video/gaza-starvation-crisis-diamond-ldn-digvid,Video shows dire starvation crisis in Gaza,,
edition.cnn.com,https://edition.cnn.com/2025/07/25/asia/thailand-cambodia-conflict-military-comparison-intl-hnk-ml,Thai-Cambodian conflict pits well-equipped US ally against weaker adversary with strong China links,Brad Lendon,
edition.cnn.com,https://edition.cnn.com/2025/07/26/politics/trump-scotland-golf-epstein-scandal,The president often speaks fondly of his ties to Scotland. The feeling has been far from mutual.,Jeff Zeleny,"PUBLISHED Jul 26, 2025, 1:00 AM ET"
